id	lifestyle	species	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name
Aquanectria_penicillioides	Unknown	Aquanectria penicillioides	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Aquanectria
Armillaria_cepistipes	Plant pathogen	Armillaria cepistipes	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Armillaria_fuscipes	Plant pathogen	Armillaria fuscipes	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Armillaria_gallica	Plant pathogen	Armillaria gallica	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Armillaria_ostoyae	Plant pathogen	Armillaria ostoyae	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Armillaria_solidipes	Plant pathogen	Armillaria solidipes	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria
Arthonia_radiata	Saprotrophic	Arthonia radiata	Fungi	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Arthonia
Arthrobotrys_oligospora	Animal pathogen	Arthrobotrys *	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys
Articulospora_tetracladia	Unknown	Articulospora tetracladia	Fungi	Ascomycota	Leotiomycetes	Helotiales	Discinellaceae	Articulospora
Ascochyta_rabiei	Plant pathogen	Ascochyta rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
Ascocoryne_sarcoides	Saprotrophic	Ascocoryne sarcoides	Fungi	Ascomycota	Leotiomycetes	Helotiales	Gelatinodiscaceae	Ascocoryne
Ascoidea_asiatica	Symbiotic	Ascoidea asiatica	Fungi	Ascomycota	Saccharomycetes	Ascoideales	Ascoideaceae	Ascoidea
Ascoidea_rubescens	Unknown	Ascoidea rubescens	Fungi	Ascomycota	Saccharomycetes	Ascoideales	Ascoideaceae	Ascoidea
Ascosphaera_apis	Entomopathogenic	Ascosphaera apis	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ascosphaeraceae	Ascosphaera
Ashbya_aceri	Entomopathogenic	Ashbya *	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium
